id_pemesanan,pemesanan_kamar,uang_muka,status_uang_muka,bukti_transfer,tenggat_uang_muka,mulai_menempati_kos,batas_menempati_kos,status,id_penyewa,idKamar
130,2023-08-12,300000,Sudah Bayar,,2023-08-15,2023-08-26,2023-11-26,Dikonfirmasi,130,17
131,2023-08-25,350000,Sudah Bayar,,2023-08-28,2023-08-29,2023-09-29,Dikonfirmasi,131,65
132,2023-08-12,350000,Sudah Bayar,,2023-08-15,2023-08-31,2024-01-31,Dikonfirmasi,132,42
133,2023-08-23,300000,Sudah Bayar,,2023-08-26,2023-08-20,2023-09-20,Dikonfirmasi,133,17
134,2023-08-28,300000,Sudah Bayar,,2023-08-31,2023-08-11,2023-09-11,Dikonfirmasi,134,78
135,2023-08-19,300000,Sudah Bayar,,2023-08-22,2023-08-17,2024-01-17,Dikonfirmasi,135,77
136,2023-08-02,350000,Sudah Bayar,,2023-08-05,2023-08-28,2023-11-28,Dikonfirmasi,136,35
137,2023-08-26,300000,Sudah Bayar,,2023-08-29,2023-08-13,2023-09-13,Dikonfirmasi,137,73
138,2023-08-25,375000,Sudah Bayar,,2023-08-28,2023-08-30,2023-09-30,Dikonfirmasi,138,85
139,2023-08-12,300000,Sudah Bayar,,2023-08-15,2023-08-15,2024-01-15,Dikonfirmasi,139,2
140,2023-08-01,375000,Sudah Bayar,,2023-08-04,2023-08-15,2024-01-15,Dikonfirmasi,140,46
141,2023-08-12,375000,Sudah Bayar,,2023-08-15,2023-08-02,2023-11-02,Dikonfirmasi,141,54
142,2023-08-21,300000,Sudah Bayar,,2023-08-24,2023-08-04,2023-11-04,Dikonfirmasi,142,71
143,2023-08-25,350000,Sudah Bayar,,2023-08-28,2023-08-04,2024-01-04,Dikonfirmasi,143,13
144,2023-08-14,300000,Sudah Bayar,,2023-08-17,2023-08-19,2023-11-19,Dikonfirmasi,144,64
145,2023-08-29,300000,Sudah Bayar,,2023-09-01,2023-08-08,2024-01-08,Dikonfirmasi,145,99
146,2023-08-27,350000,Sudah Bayar,,2023-08-30,2023-08-08,2023-09-08,Dikonfirmasi,146,104
147,2023-08-20,375000,Sudah Bayar,,2023-08-23,2023-08-21,2024-01-21,Dikonfirmasi,147,26
148,2023-08-07,350000,Sudah Bayar,,2023-08-10,2023-08-31,2023-09-30,Dikonfirmasi,148,53
149,2023-09-05,300000,Sudah Bayar,,2023-09-08,2023-09-19,2023-12-19,Dikonfirmasi,149,50
150,2023-09-02,350000,Sudah Bayar,,2023-09-05,2023-09-28,2023-10-28,Dikonfirmasi,150,79
151,2023-09-16,375000,Sudah Bayar,,2023-09-19,2023-09-24,2023-12-24,Dikonfirmasi,151,55
152,2023-09-15,350000,Sudah Bayar,,2023-09-18,2023-09-03,2024-02-03,Dikonfirmasi,152,88
153,2023-09-25,300000,Sudah Bayar,,2023-09-28,2023-09-02,2023-12-02,Dikonfirmasi,153,3
154,2023-09-17,375000,Sudah Bayar,,2023-09-20,2023-09-09,2024-02-09,Dikonfirmasi,154,31
155,2023-09-18,300000,Sudah Bayar,,2023-09-21,2023-09-18,2023-10-18,Dikonfirmasi,155,29
156,2023-09-17,350000,Sudah Bayar,,2023-09-20,2023-09-23,2023-12-23,Dikonfirmasi,156,86
157,2023-09-03,350000,Sudah Bayar,,2023-09-06,2023-09-14,2024-02-14,Dikonfirmasi,157,77
158,2023-09-24,375000,Sudah Bayar,,2023-09-27,2023-09-22,2023-10-22,Dikonfirmasi,158,3
159,2023-09-06,300000,Sudah Bayar,,2023-09-09,2023-09-17,2023-10-17,Dikonfirmasi,159,94
160,2023-09-21,375000,Sudah Bayar,,2023-09-24,2023-09-09,2024-02-09,Dikonfirmasi,160,85
161,2023-09-05,300000,Sudah Bayar,,2023-09-08,2023-09-19,2024-02-19,Dikonfirmasi,161,20
162,2023-09-08,300000,Sudah Bayar,,2023-09-11,2023-09-01,2024-02-01,Dikonfirmasi,162,92
163,2023-09-20,350000,Sudah Bayar,,2023-09-23,2023-09-06,2023-12-06,Dikonfirmasi,163,76
164,2023-09-10,375000,Sudah Bayar,,2023-09-13,2023-09-15,2023-12-15,Dikonfirmasi,164,70
165,2023-09-22,350000,Sudah Bayar,,2023-09-25,2023-09-04,2023-12-04,Dikonfirmasi,165,86
166,2023-09-30,300000,Sudah Bayar,,2023-10-03,2023-09-25,2023-10-25,Dikonfirmasi,166,70
167,2023-09-14,350000,Sudah Bayar,,2023-09-17,2023-09-04,2023-12-04,Dikonfirmasi,167,37
168,2023-09-19,300000,Sudah Bayar,,2023-09-22,2023-09-06,2023-12-06,Dikonfirmasi,168,42
169,2023-09-17,375000,Sudah Bayar,,2023-09-20,2023-09-08,2023-10-08,Dikonfirmasi,169,84
170,2023-09-08,350000,Sudah Bayar,,2023-09-11,2023-09-06,2024-02-06,Dikonfirmasi,170,99
171,2023-09-09,350000,Sudah Bayar,,2023-09-12,2023-09-24,2023-10-24,Dikonfirmasi,171,71
172,2023-09-01,375000,Sudah Bayar,,2023-09-04,2023-09-08,2023-12-08,Dikonfirmasi,172,86
173,2023-09-28,350000,Sudah Bayar,,2023-10-01,2023-09-19,2023-10-19,Dikonfirmasi,173,52
174,2023-09-29,375000,Sudah Bayar,,2023-10-02,2023-09-06,2024-02-06,Dikonfirmasi,174,19
175,2023-09-16,350000,Sudah Bayar,,2023-09-19,2023-09-08,2023-10-08,Dikonfirmasi,175,15
176,2023-09-04,375000,Sudah Bayar,,2023-09-07,2023-09-10,2023-12-10,Dikonfirmasi,176,21
177,2023-09-05,375000,Sudah Bayar,,2023-09-08,2023-09-16,2023-12-16,Dikonfirmasi,177,22
178,2023-09-24,350000,Sudah Bayar,,2023-09-27,2023-09-03,2024-02-03,Dikonfirmasi,178,21
179,2023-09-28,350000,Sudah Bayar,,2023-10-01,2023-09-09,2024-02-09,Dikonfirmasi,179,89
180,2023-09-22,300000,Sudah Bayar,,2023-09-25,2023-09-28,2023-12-28,Dikonfirmasi,180,52
181,2023-09-06,350000,Sudah Bayar,,2023-09-09,2023-09-29,2024-02-29,Dikonfirmasi,181,9
182,2023-09-10,375000,Sudah Bayar,,2023-09-13,2023-09-07,2023-12-07,Dikonfirmasi,182,5
183,2023-09-03,300000,Sudah Bayar,,2023-09-06,2023-09-27,2023-10-27,Dikonfirmasi,183,105
184,2023-09-02,375000,Sudah Bayar,,2023-09-05,2023-09-20,2023-10-20,Dikonfirmasi,184,86
185,2023-09-27,350000,Sudah Bayar,,2023-09-30,2023-09-23,2024-02-23,Dikonfirmasi,185,7
186,2023-09-11,300000,Sudah Bayar,,2023-09-14,2023-09-17,2023-12-17,Dikonfirmasi,186,36
187,2023-09-18,350000,Sudah Bayar,,2023-09-21,2023-09-13,2023-12-13,Dikonfirmasi,187,94
188,2023-09-07,350000,Sudah Bayar,,2023-09-10,2023-09-18,2023-10-18,Dikonfirmasi,188,40
189,2023-09-25,350000,Sudah Bayar,,2023-09-28,2023-09-13,2024-02-13,Dikonfirmasi,189,68
190,2023-09-28,350000,Sudah Bayar,,2023-10-01,2023-09-09,2023-12-09,Dikonfirmasi,190,93
191,2023-10-28,350000,Sudah Bayar,,2023-10-31,2023-10-08,2024-03-08,Dikonfirmasi,191,13
192,2023-10-30,300000,Sudah Bayar,,2023-11-02,2023-10-31,2023-11-30,Dikonfirmasi,192,3
193,2023-10-16,375000,Sudah Bayar,,2023-10-19,2023-10-24,2024-01-24,Dikonfirmasi,193,24
194,2023-10-15,375000,Sudah Bayar,,2023-10-18,2023-10-23,2023-11-23,Dikonfirmasi,194,77
195,2023-10-22,300000,Sudah Bayar,,2023-10-25,2023-10-23,2023-11-23,Dikonfirmasi,195,13
196,2023-10-10,350000,Sudah Bayar,,2023-10-13,2023-10-13,2024-01-13,Dikonfirmasi,196,104
197,2023-10-26,300000,Sudah Bayar,,2023-10-29,2023-10-12,2023-11-12,Dikonfirmasi,197,41
198,2023-10-18,350000,Sudah Bayar,,2023-10-21,2023-10-10,2024-03-10,Dikonfirmasi,198,29
199,2023-10-06,375000,Sudah Bayar,,2023-10-09,2023-10-27,2024-03-27,Dikonfirmasi,199,53
200,2023-10-25,375000,Sudah Bayar,,2023-10-28,2023-10-06,2024-01-06,Dikonfirmasi,200,91
201,2023-10-13,350000,Sudah Bayar,,2023-10-16,2023-10-26,2024-03-26,Dikonfirmasi,201,10
202,2023-10-19,350000,Sudah Bayar,,2023-10-22,2023-10-28,2024-03-28,Dikonfirmasi,202,46
203,2023-10-03,375000,Sudah Bayar,,2023-10-06,2023-10-20,2023-11-20,Dikonfirmasi,203,37
204,2023-10-21,375000,Sudah Bayar,,2023-10-24,2023-10-22,2024-03-22,Dikonfirmasi,204,92
205,2023-10-14,375000,Sudah Bayar,,2023-10-17,2023-10-22,2023-11-22,Dikonfirmasi,205,6
206,2023-10-18,350000,Sudah Bayar,,2023-10-21,2023-10-21,2024-03-21,Dikonfirmasi,206,83
207,2023-10-14,350000,Sudah Bayar,,2023-10-17,2023-10-23,2023-11-23,Dikonfirmasi,207,20
208,2023-10-01,375000,Sudah Bayar,,2023-10-04,2023-10-21,2023-11-21,Dikonfirmasi,208,56
209,2023-10-20,300000,Sudah Bayar,,2023-10-23,2023-10-14,2024-03-14,Dikonfirmasi,209,19
210,2023-10-21,350000,Sudah Bayar,,2023-10-24,2023-10-03,2024-03-03,Dikonfirmasi,210,66
211,2023-10-06,350000,Sudah Bayar,,2023-10-09,2023-10-27,2024-01-27,Dikonfirmasi,211,96
212,2023-10-08,375000,Sudah Bayar,,2023-10-11,2023-10-08,2023-11-08,Dikonfirmasi,212,18
213,2023-10-25,375000,Sudah Bayar,,2023-10-28,2023-10-08,2024-03-08,Dikonfirmasi,213,74
214,2023-10-28,375000,Sudah Bayar,,2023-10-31,2023-10-03,2024-03-03,Dikonfirmasi,214,73
215,2023-10-06,375000,Sudah Bayar,,2023-10-09,2023-10-05,2024-01-05,Dikonfirmasi,215,48
216,2023-11-26,375000,Sudah Bayar,,2023-11-29,2023-11-13,2023-12-13,Dikonfirmasi,216,59
217,2023-11-01,375000,Sudah Bayar,,2023-11-04,2023-11-25,2024-02-25,Dikonfirmasi,217,34
218,2023-11-24,375000,Sudah Bayar,,2023-11-27,2023-11-10,2023-12-10,Dikonfirmasi,218,70
219,2023-11-29,350000,Sudah Bayar,,2023-12-02,2023-11-11,2024-04-11,Dikonfirmasi,219,16
220,2023-11-09,375000,Sudah Bayar,,2023-11-12,2023-11-19,2023-12-19,Dikonfirmasi,220,23
221,2023-11-17,350000,Sudah Bayar,,2023-11-20,2023-11-02,2024-02-02,Dikonfirmasi,221,4
222,2023-11-25,350000,Sudah Bayar,,2023-11-28,2023-11-27,2023-12-27,Dikonfirmasi,222,64
223,2023-11-12,375000,Sudah Bayar,,2023-11-15,2023-11-13,2024-04-13,Dikonfirmasi,223,29
224,2023-11-28,375000,Sudah Bayar,,2023-12-01,2023-11-29,2024-04-29,Dikonfirmasi,224,62
225,2023-11-04,300000,Sudah Bayar,,2023-11-07,2023-11-03,2023-12-03,Dikonfirmasi,225,11
226,2023-11-11,375000,Sudah Bayar,,2023-11-14,2023-11-21,2023-12-21,Dikonfirmasi,226,34
227,2023-11-15,350000,Sudah Bayar,,2023-11-18,2023-11-12,2023-12-12,Dikonfirmasi,227,15
228,2023-11-12,300000,Sudah Bayar,,2023-11-15,2023-11-25,2024-02-25,Dikonfirmasi,228,76
229,2023-11-16,300000,Sudah Bayar,,2023-11-19,2023-11-05,2024-04-05,Dikonfirmasi,229,68
230,2023-11-15,375000,Sudah Bayar,,2023-11-18,2023-11-17,2023-12-17,Dikonfirmasi,230,104
231,2023-11-09,300000,Sudah Bayar,,2023-11-12,2023-11-18,2024-04-18,Dikonfirmasi,231,7
232,2023-11-02,375000,Sudah Bayar,,2023-11-05,2023-11-26,2024-04-26,Dikonfirmasi,232,70
233,2023-11-23,350000,Sudah Bayar,,2023-11-26,2023-11-26,2024-04-26,Dikonfirmasi,233,70
234,2023-11-25,300000,Sudah Bayar,,2023-11-28,2023-11-11,2023-12-11,Dikonfirmasi,234,10
235,2023-11-06,375000,Sudah Bayar,,2023-11-09,2023-11-02,2024-04-02,Dikonfirmasi,235,3
236,2023-11-22,350000,Sudah Bayar,,2023-11-25,2023-11-19,2023-12-19,Dikonfirmasi,236,6
237,2023-12-17,350000,Sudah Bayar,,2023-12-20,2023-12-03,2024-03-03,Dikonfirmasi,237,93
238,2023-12-27,350000,Sudah Bayar,,2023-12-30,2023-12-04,2024-03-04,Dikonfirmasi,238,80
239,2023-12-21,300000,Sudah Bayar,,2023-12-24,2023-12-20,2024-03-20,Dikonfirmasi,239,87
240,2023-12-14,300000,Sudah Bayar,,2023-12-17,2023-12-13,2024-03-13,Dikonfirmasi,240,54
241,2023-12-13,375000,Sudah Bayar,,2023-12-16,2023-12-13,2024-05-13,Dikonfirmasi,241,10
